"Feature","Coefficient","Model"
"EducationLevelDoctorate Degree (PhD, EdD)",2.35120317841258,"Lasso"
"AnnualIncomeLess than $25,000",1.91453973093251,"Lasso"
"HbA1c_Screening",-1.1121144594649,"Lasso"
"basal_sd",-0.542243753548253,"Lasso"
"RaceNative Hawaiian/Other Pacific Islander",-0.493753595043484,"Lasso"
"mean_boluses_per_day",-0.418079880766018,"Lasso"
"NumMedicalConditions",0.0306972709736589,"Lasso"
"BldPrDia",-0.00614407689415018,"Lasso"
"AgeAtEnrollment",0.00181969206385681,"Lasso"
"Height_cm",-0.00157289076276916,"Lasso"
