"Feature","Coefficient","Model"
"EducationLevelDoctorate Degree (PhD, EdD)",1.46084245632653,"Ridge"
"RaceNative Hawaiian/Other Pacific Islander",-1.21743157555283,"Ridge"
"InsuranceTypeNo Coverage",1.12172036523616,"Ridge"
"EducationLevelDoes not wish to provide",-1.10802313092095,"Ridge"
"AnnualIncomeLess than $25,000",0.765437647369987,"Ridge"
"AnnualIncomeUnknown",-0.719577896920984,"Ridge"
"TDD_per_kg",-0.559915925906424,"Ridge"
"RaceBlack/African American",0.541619531712775,"Ridge"
"HbA1c_Screening",-0.410150830595577,"Ridge"
"RaceMore than one race",0.396117702897265,"Ridge"
"RaceUnknown/not reported",-0.323601691917447,"Ridge"
"InsuranceTypeNot Specified",-0.301589020188185,"Ridge"
"InsuranceTypeMedicare",-0.288376586166233,"Ridge"
"EthnicityNot Hispanic or Latino",-0.2609253999585,"Ridge"
"AnnualIncome$25,000 to less than $35,000",0.241323546788789,"Ridge"
"TDD_per_BMI",-0.174401598762019,"Ridge"
"RaceWhite",0.157804853614927,"Ridge"
"mean_boluses_per_day",-0.156198892732406,"Ridge"
"GenderM",-0.134306272987388,"Ridge"
"AnnualIncome$200,000 or more",0.118165016981725,"Ridge"
"EducationLevelProfessional Degree (MD, DDS, DVM, LLB, JD)",-0.118149840426884,"Ridge"
"InsuranceTypePrivate",-0.107131708326227,"Ridge"
"basal_sd",-0.0945045866269575,"Ridge"
"EducationLevelHigh school graduate/diploma/GED",0.092323611417436,"Ridge"
"AnnualIncomeDoes not wish to provide",-0.0816277058256928,"Ridge"
"EducationLevelSome college but no degree",0.0793203670558901,"Ridge"
"AnnualIncome$35,000 to less than $50,000",0.0747626891561312,"Ridge"
"EducationLevelMaster's Degree (MA, MS, MSW, MBA, MPH)",-0.0423595048082874,"Ridge"
"EducationLevelAssociate Degree (AA)",-0.0419815932941691,"Ridge"
"EducationLevelBachelor's Degree (BS,BA,AB)",-0.0402116730703982,"Ridge"
"NumMedicalConditions",0.0379959143479605,"Ridge"
"AnnualIncome$50,000 to less than $75,000",0.0345928625220353,"Ridge"
"AnnualIncome$75,000 to less than $100,000",0.0279060081541637,"Ridge"
"tdd_sd",-0.0169534198464063,"Ridge"
"bolus_sd",-0.0163089244250119,"Ridge"
"n_days",-0.0131694265110658,"Ridge"
"BldPrDia",-0.0121075702798028,"Ridge"
"BMI",0.00982506587817788,"Ridge"
"AgeAtEnrollment",0.00899999079234932,"Ridge"
"basal_pct",-0.00676059612044329,"Ridge"
"bolus_pct",0.00674245523062931,"Ridge"
"Height_cm",-0.00667927441407065,"Ridge"
"basal_mean",-0.00541019089569297,"Ridge"
"basal_median",-0.00531200455346494,"Ridge"
"bolus_median",-0.00474433963842297,"Ridge"
"bolus_mean",-0.00443316970158796,"Ridge"
"tdd_cv",-0.00325253384496363,"Ridge"
"tdd_median",-0.00302515884961031,"Ridge"
"tdd_mean",-0.00287010599569982,"Ridge"
"DiagAge",0.00278162292755425,"Ridge"
"NumMedications",-0.00102755438019781,"Ridge"
"Weight_kg",0.00086109608322951,"Ridge"
"BldPrSys",-0.000316387636686486,"Ridge"
"DiagAgeApprox",0,"Ridge"
